"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
197,0.630413554529256,0.727017679249628,0.750952917467433,1,"1.0x baseline",2
198,0.630794655167258,0.728003672080187,0.750337553097972,1,"1.0x baseline",2
199,0.631726180729717,0.730311285058854,0.752827684701832,1,"1.0x baseline",2
200,0.631678209758223,0.730642316569229,0.752439079519201,1,"1.0x baseline",2
1,0.017731333288452,0.0736325526496038,0.0931808326759565,1.5,"1.5x baseline",3
2,0.0344877050427247,0.11659476456636,0.131468958052204,1.5,"1.5x baseline",3
3,0.0515937976558202,0.136434847864442,0.165686155355101,1.5,"1.5x baseline",3
4,0.0669655206169375,0.155773410650349,0.190890156586949,1.5,"1.5x baseline",3
5,0.0826621862947703,0.179738654471735,0.217339044899812,1.5,"1.5x baseline",3
6,0.0969707819975651,0.205534132881468,0.241820041199434,1.5,"1.5x baseline",3
7,0.11090718642547,0.221705502314343,0.258914686187344,1.5,"1.5x baseline",3
8,0.124100426960735,0.237501438637533,0.274600701456905,1.5,"1.5x baseline",3
9,0.1365802686565,0.255793080286272,0.289899184955417,1.5,"1.5x baseline",3
10,0.148562908342463,0.270590620416989,0.303821251779529,1.5,"1.5x baseline",3
11,0.160299435240617,0.28507267024762,0.319236396896834,1.5,"1.5x baseline",3
12,0.171373576968456,0.294752453463607,0.328987359409837,1.5,"1.5x baseline",3
13,0.182083633228485,0.305545680384016,0.341004377895151,1.5,"1.5x baseline",3
14,0.192643778921148,0.319109775885909,0.349884240858017,1.5,"1.5x baseline",3
15,0.202653773310269,0.326692699725234,0.358312302301387,1.5,"1.5x baseline",3
16,0.212393404293674,0.337275270695214,0.369249449452383,1.5,"1.5x baseline",3
17,0.221649031549933,0.34570986737758,0.380715915519297,1.5,"1.5x baseline",3
18,0.230181766245659,0.354836763572849,0.388876067405015,1.5,"1.5x baseline",3
19,0.23824346779925,0.365037426756123,0.394953245725204,1.5,"1.5x baseline",3
20,0.24652494330296,0.36835072360036,0.40087412211373,1.5,"1.5x baseline",3
21,0.254479529219509,0.377100638758282,0.409583352353101,1.5,"1.5x baseline",3
